Poço,Bacia,COT,S1,S2,S3,Tmax,HI,OI
1-RV-1D-AL          ,Alagoas,1.13,0.15,2.48,0.32,439.0,219.47,28.32
1-RV-1D-AL          ,Alagoas,5.8,0.99,25.76,1.01,440.0,444.14,17.41
1-RV-1D-AL          ,Alagoas,4.35,1.24,25.82,0.52,437.0,593.56,11.95
1-RV-1D-AL          ,Alagoas,4.36,0.87,19.81,0.67,437.0,454.36,15.37
1-RV-1D-AL          ,Alagoas,1.23,0.14,2.45,0.47,438.0,199.19,38.21
1-RV-1D-AL          ,Alagoas,5.18,1.36,33.0,0.7,442.0,637.07,13.51
1-RV-1D-AL          ,Alagoas,4.81,0.23,24.38,0.81,438.0,506.86,16.84
1-RV-1D-AL          ,Alagoas,1.52,0.17,4.54,0.04,437.0,298.68,2.63
1-RV-1D-AL          ,Alagoas,1.26,0.15,3.54,0.22,442.0,280.95,17.46
1-RV-1D-AL          ,Alagoas,1.47,0.2,5.24,0.28,440.0,356.46,19.05
1-RV-1D-AL          ,Alagoas,1.13,0.17,2.97,0.22,441.0,262.83,19.47
1-RV-1D-AL          ,Alagoas,1.65,0.19,5.85,0.19,442.0,354.55,11.52
1-RV-1D-AL          ,Alagoas,2.03,0.2,9.07,0.3,440.0,446.8,14.78
1-RV-1D-AL          ,Alagoas,1.54,0.06,4.94,0.59,437.0,320.78,38.31
1-RV-1D-AL          ,Alagoas,0.82,,,,,,
1-RV-1D-AL          ,Alagoas,0.83,,,,,,
1-RV-1D-AL          ,Alagoas,1.44,0.51,6.07,0.24,441.0,421.53,16.67
1-RV-1D-AL          ,Alagoas,1.35,0.19,5.46,0.43,439.0,404.44,31.85
1-RV-1D-AL          ,Alagoas,1.63,0.85,7.99,0.32,443.0,490.18,19.63
1-RV-1D-AL          ,Alagoas,2.03,1.01,10.36,0.33,442.0,510.34,16.26
1-RV-1D-AL          ,Alagoas,1.82,0.88,8.9,0.42,440.0,489.01,23.08
1-RV-1D-AL          ,Alagoas,0.77,,,,,,
1-RV-1D-AL          ,Alagoas,3.88,1.96,21.94,0.8,444.0,565.46,20.62
1-RV-1D-AL          ,Alagoas,3.06,1.5,17.74,0.34,438.0,579.74,11.11
1-RV-1D-AL          ,Alagoas,2.21,0.87,10.98,0.37,439.0,496.83,16.74
1-RV-1D-AL          ,Alagoas,2.71,1.85,15.86,0.4,440.0,585.24,14.76
1-RV-1D-AL          ,Alagoas,1.89,0.95,8.95,0.43,440.0,473.54,22.75
1-RV-1D-AL          ,Alagoas,1.59,0.58,7.21,0.38,438.0,453.46,23.9
1-RV-1D-AL          ,Alagoas,4.58,2.23,25.0,0.9,442.0,545.85,19.65
1-RV-1D-AL          ,Alagoas,8.57,2.6,54.25,1.12,446.0,633.02,13.07
1-RV-1D-AL          ,Alagoas,3.1,0.18,15.24,0.81,434.0,491.61,26.13
1-RV-1D-AL          ,Alagoas,2.23,0.6,10.39,0.73,437.0,465.92,32.74
1-RV-1D-AL          ,Alagoas,1.71,0.49,7.08,0.58,438.0,414.04,33.92
1-RV-1D-AL          ,Alagoas,3.24,0.83,14.5,0.71,444.0,447.53,21.91
1-RV-1D-AL          ,Alagoas,2.63,0.71,12.87,0.42,440.0,489.35,15.97
1-RV-1D-AL          ,Alagoas,2.16,0.47,10.0,0.52,438.0,462.96,24.07
1-RV-1D-AL          ,Alagoas,2.32,0.67,12.17,0.56,440.0,524.57,24.14
1-RV-1D-AL          ,Alagoas,1.16,0.42,4.43,0.51,442.0,381.9,43.97
1-RV-1D-AL          ,Alagoas,1.33,0.42,5.22,0.48,442.0,392.48,36.09
1-RV-1D-AL          ,Alagoas,1.46,0.48,6.17,0.43,442.0,422.6,29.45
1-RV-1D-AL          ,Alagoas,4.3,1.22,20.05,0.85,445.0,466.28,19.77
1-RV-1D-AL          ,Alagoas,7.2,2.73,28.43,1.48,448.0,394.86,20.56
1-RV-1D-AL          ,Alagoas,2.66,1.03,9.07,0.81,441.0,340.98,30.45
1-RV-1D-AL          ,Alagoas,1.22,0.47,3.27,0.52,441.0,268.03,42.62
1-RV-1D-AL          ,Alagoas,1.28,0.56,3.5,0.41,442.0,273.44,32.03
1-RV-1D-AL          ,Alagoas,1.5,0.64,2.77,1.86,443.0,184.67,124.0
1-RV-1D-AL          ,Alagoas,1.1,0.42,2.2,0.44,442.0,200.0,40.0
1-RV-1D-AL          ,Alagoas,1.26,0.53,2.82,0.58,442.0,223.81,46.03
1-RV-1D-AL          ,Alagoas,1.06,0.56,2.61,0.44,443.0,246.23,41.51
1-RV-1D-AL          ,Alagoas,1.06,0.62,2.77,0.42,441.0,261.32,39.62
1-RV-1D-AL          ,Alagoas,1.62,0.9,4.25,0.31,444.0,262.35,19.14
1-RV-1D-AL          ,Alagoas,0.75,,,,,,
1-RV-1D-AL          ,Alagoas,1.31,0.95,3.77,0.44,440.0,287.79,33.59
1-RV-1D-AL          ,Alagoas,0.84,,,,,,
1-RV-1D-AL          ,Alagoas,0.35,,,,,,
1-RV-1D-AL          ,Alagoas,0.4,,,,,,
1-RV-1D-AL          ,Alagoas,0.82,,,,,,
1-RV-1D-AL          ,Alagoas,0.65,,,,,,
1-RV-1D-AL          ,Alagoas,1.25,1.14,2.91,0.36,443.0,232.8,28.8
1-RV-1D-AL          ,Alagoas,1.22,0.89,2.76,0.59,441.0,226.23,48.36
1-RV-1D-AL          ,Alagoas,0.52,,,,,,
1-RV-1D-AL          ,Alagoas,0.58,,,,,,
1-RV-1D-AL          ,Alagoas,0.71,,,,,,
1-RV-1D-AL          ,Alagoas,0.8,,,,,,
1-RV-1D-AL          ,Alagoas,0.68,,,,,,
1-RV-1D-AL          ,Alagoas,0.6,,,,,,
1-RV-1D-AL          ,Alagoas,0.81,,,,,,
1-RV-1D-AL          ,Alagoas,0.94,,,,,,
1-RV-1D-AL          ,Alagoas,0.78,,,,,,
1-RV-1D-AL          ,Alagoas,1.64,2.01,7.04,0.13,442.0,429.27,7.93
1-RV-1D-AL          ,Alagoas,2.35,1.25,5.36,0.41,445.0,228.09,17.45
1-RV-1D-AL          ,Alagoas,0.88,,,,,,
1-RV-1D-AL          ,Alagoas,0.84,,,,,,
1-RV-1D-AL          ,Alagoas,0.6,,,,,,
1-RV-1D-AL          ,Alagoas,1.23,1.72,3.6,0.11,449.0,292.68,8.94
1-RV-1D-AL          ,Alagoas,1.75,2.03,5.54,0.12,448.0,316.57,6.86
1-RV-1D-AL          ,Alagoas,0.42,,,,,,
1-RV-1D-AL          ,Alagoas,0.61,,,,,,
1-RV-1D-AL          ,Alagoas,0.55,,,,,,
1-RV-1D-AL          ,Alagoas,0.55,,,,,,
1-RV-1D-AL          ,Alagoas,0.51,,,,,,
1-RV-1D-AL          ,Alagoas,0.7,,,,,,
1-RV-1D-AL          ,Alagoas,0.6,,,,,,
1-RV-1D-AL          ,Alagoas,0.53,,,,,,
1-RV-1D-AL          ,Alagoas,0.67,,,,,,
1-RV-1D-AL          ,Alagoas,0.64,,,,,,
1-RV-1D-AL          ,Alagoas,0.56,,,,,,
1-RV-1D-AL          ,Alagoas,0.65,,,,,,
1-RV-1D-AL          ,Alagoas,0.64,,,,,,
