Bacia,Poço,COT,S1,S2,S3,Tmax,HI,OI
Alagoas,1-NF-1-AL           ,1.52,0.3,5.42,0.4,439.0,356.58,26.32
Alagoas,1-NF-1-AL           ,0.63,,,,,,
Alagoas,1-NF-1-AL           ,0.97,,2.52,0.26,437.0,259.79,26.8
Alagoas,1-NF-1-AL           ,0.97,0.04,1.98,0.36,436.0,204.12,37.11
Alagoas,1-NF-1-AL           ,0.77,,,,,,
Alagoas,1-NF-1-AL           ,0.8,,,,,,
Alagoas,1-NF-1-AL           ,0.83,,,,,,
Alagoas,1-NF-1-AL           ,0.88,,,,,,
Alagoas,1-NF-1-AL           ,1.0,0.01,1.92,0.36,439.0,192.0,36.0
Alagoas,1-NF-1-AL           ,0.76,,,,,,
Alagoas,1-NF-1-AL           ,1.02,0.12,2.74,0.45,436.0,268.63,44.12
Alagoas,1-NF-1-AL           ,0.91,0.05,1.49,0.25,439.0,163.74,27.47
Alagoas,1-NF-1-AL           ,0.94,0.05,2.33,0.29,437.0,247.87,30.85
Alagoas,1-NF-1-AL           ,1.04,0.06,2.18,0.29,440.0,209.62,27.88
Alagoas,1-NF-1-AL           ,0.95,0.11,1.49,0.3,439.0,156.84,31.58
Alagoas,1-NF-1-AL           ,0.82,,,,,,
Alagoas,1-NF-1-AL           ,1.07,0.03,2.2,0.3,440.0,205.61,28.04
Alagoas,1-NF-1-AL           ,0.96,0.06,1.56,0.31,439.0,162.5,32.29
Alagoas,1-NF-1-AL           ,0.78,,,,,,
Alagoas,1-NF-1-AL           ,0.82,,,,,,
Alagoas,1-NF-1-AL           ,0.8,,,,,,
Alagoas,1-NF-1-AL           ,1.38,0.2,3.57,0.35,439.0,258.7,25.36
Alagoas,1-NF-1-AL           ,0.9,0.06,1.29,0.32,439.0,143.33,35.56
Alagoas,1-NF-1-AL           ,0.87,,,,,,
Alagoas,1-NF-1-AL           ,0.72,,,,,,
Alagoas,1-NF-1-AL           ,0.7,,,,,,
Alagoas,1-NF-1-AL           ,0.67,,,,,,
Alagoas,1-NF-1-AL           ,0.63,,,,,,
Alagoas,1-NF-1-AL           ,0.71,,,,,,
Alagoas,1-NF-1-AL           ,0.72,,,,,,
Alagoas,1-NF-1-AL           ,0.68,,,,,,
Alagoas,1-NF-1-AL           ,0.75,,,,,,
Alagoas,1-NF-1-AL           ,0.79,,,,,,
Alagoas,1-NF-1-AL           ,0.74,,,,,,
Alagoas,1-NF-1-AL           ,0.93,0.04,0.29,0.22,447.0,31.18,23.66
Alagoas,1-NF-1-AL           ,0.89,,,,,,
Alagoas,1-NF-1-AL           ,0.98,0.07,0.48,0.24,452.0,48.98,24.49
Alagoas,1-NF-1-AL           ,0.88,,,,,,
Alagoas,1-NF-1-AL           ,0.85,,,,,,
Alagoas,1-NF-1-AL           ,0.75,,,,,,
Alagoas,1-NF-1-AL           ,0.74,,,,,,
Alagoas,1-NF-1-AL           ,0.83,,,,,,
Alagoas,1-NF-1-AL           ,0.82,,,,,,
Alagoas,1-NF-1-AL           ,0.77,,,,,,
Alagoas,1-NF-1-AL           ,0.82,,,,,,
Alagoas,1-NF-1-AL           ,0.78,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.67,,,,,,
Alagoas,1-NF-1-AL           ,0.68,,,,,,
Alagoas,1-NF-1-AL           ,0.6,,,,,,
Alagoas,1-NF-1-AL           ,0.67,,,,,,
Alagoas,1-NF-1-AL           ,0.65,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.58,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.45,,,,,,
Alagoas,1-NF-1-AL           ,0.43,,,,,,
Alagoas,1-NF-1-AL           ,0.46,,,,,,
Alagoas,1-NF-1-AL           ,0.8,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.53,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.58,,,,,,
Alagoas,1-NF-1-AL           ,0.49,,,,,,
Alagoas,1-NF-1-AL           ,0.51,,,,,,
Alagoas,1-NF-1-AL           ,0.53,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.46,,,,,,
Alagoas,1-NF-1-AL           ,0.48,,,,,,
Alagoas,1-NF-1-AL           ,0.44,,,,,,
Alagoas,1-NF-1-AL           ,0.49,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.49,,,,,,
Alagoas,1-NF-1-AL           ,0.47,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.44,,,,,,
Alagoas,1-NF-1-AL           ,0.39,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.92,0.01,,0.18,,,19.57
Alagoas,1-NF-1-AL           ,0.79,,,,,,
Alagoas,1-NF-1-AL           ,0.65,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.69,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.68,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.59,,,,,,
Alagoas,1-NF-1-AL           ,0.67,,,,,,
Alagoas,1-NF-1-AL           ,0.68,,,,,,
Alagoas,1-NF-1-AL           ,0.71,,,,,,
Alagoas,1-NF-1-AL           ,0.55,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.48,,,,,,
Alagoas,1-NF-1-AL           ,0.58,,,,,,
Alagoas,1-NF-1-AL           ,0.45,,,,,,
Alagoas,1-NF-1-AL           ,0.56,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.56,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.48,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.49,,,,,,
Alagoas,1-NF-1-AL           ,0.59,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.63,,,,,,
Alagoas,1-NF-1-AL           ,0.57,,,,,,
Alagoas,1-NF-1-AL           ,0.54,,,,,,
Alagoas,1-NF-1-AL           ,0.59,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.52,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.56,,,,,,
Alagoas,1-NF-1-AL           ,0.56,,,,,,
Alagoas,1-NF-1-AL           ,0.55,,,,,,
Alagoas,1-NF-1-AL           ,0.46,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.64,,,,,,
Alagoas,1-NF-1-AL           ,0.6,,,,,,
Alagoas,1-NF-1-AL           ,0.65,,,,,,
Alagoas,1-NF-1-AL           ,0.71,,,,,,
Alagoas,1-NF-1-AL           ,0.58,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.61,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.67,,,,,,
Alagoas,1-NF-1-AL           ,0.7,,,,,,
Alagoas,1-NF-1-AL           ,0.72,,,,,,
Alagoas,1-NF-1-AL           ,0.77,,,,,,
Alagoas,1-NF-1-AL           ,0.7,,,,,,
Alagoas,1-NF-1-AL           ,0.74,,,,,,
Alagoas,1-NF-1-AL           ,0.69,,,,,,
Alagoas,1-NF-1-AL           ,0.66,,,,,,
Alagoas,1-NF-1-AL           ,0.68,,,,,,
Alagoas,1-NF-1-AL           ,0.69,,,,,,
Alagoas,1-NF-1-AL           ,0.59,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.48,,,,,,
Alagoas,1-NF-1-AL           ,0.44,,,,,,
Alagoas,1-NF-1-AL           ,0.46,,,,,,
Alagoas,1-NF-1-AL           ,0.4,,,,,,
Alagoas,1-NF-1-AL           ,0.46,,,,,,
Alagoas,1-NF-1-AL           ,0.41,,,,,,
Alagoas,1-NF-1-AL           ,0.42,,,,,,
Alagoas,1-NF-1-AL           ,0.44,,,,,,
Alagoas,1-NF-1-AL           ,0.47,,,,,,
Alagoas,1-NF-1-AL           ,0.43,,,,,,
Alagoas,1-NF-1-AL           ,0.4,,,,,,
Alagoas,1-NF-1-AL           ,0.62,,,,,,
Alagoas,1-NF-1-AL           ,0.47,,,,,,
Alagoas,1-NF-1-AL           ,0.5,,,,,,
Alagoas,1-NF-1-AL           ,0.47,,,,,,
Alagoas,1-NF-1-AL           ,0.43,,,,,,
Alagoas,1-NF-1-AL           ,0.37,,,,,,
Alagoas,1-NF-1-AL           ,0.42,,,,,,
Alagoas,1-NF-1-AL           ,0.41,,,,,,
Alagoas,1-NF-1-AL           ,0.4,,,,,,
Alagoas,1-NF-1-AL           ,0.48,,,,,,
Alagoas,1-VA-1-AL           ,5.91,2.01,30.51,2.35,422.0,516.24,39.76
Alagoas,1-VA-1-AL           ,3.28,0.83,15.06,1.1,424.0,459.15,33.54
Alagoas,1-VA-1-AL           ,4.31,1.18,21.91,1.47,427.0,508.35,34.11
Alagoas,1-VA-1-AL           ,0.93,0.11,1.18,0.67,426.0,126.88,72.04
Alagoas,1-VA-1-AL           ,0.72,0.09,0.6,0.47,426.0,83.33,65.28
Alagoas,1-VA-1-AL           ,0.61,0.06,0.32,1.44,427.0,52.46,236.07
Alagoas,1-VA-1-AL           ,0.5,0.08,0.25,0.61,427.0,50.0,122.0
Alagoas,1-VA-1-AL           ,0.45,,,,,,
Alagoas,1-VA-1-AL           ,0.44,,,,,,
Alagoas,1-VA-1-AL           ,0.5,0.05,0.23,0.63,429.0,46.0,126.0
Alagoas,1-VA-1-AL           ,0.45,,,,,,
Alagoas,1-VA-1-AL           ,0.51,0.07,0.26,0.48,426.0,50.98,94.12
Alagoas,1-VA-1-AL           ,0.55,0.06,0.38,0.8,425.0,69.09,145.45
Alagoas,1-VA-1-AL           ,0.53,0.04,0.27,0.51,427.0,50.94,96.23
Alagoas,1-VA-1-AL           ,0.55,0.04,0.32,0.29,425.0,58.18,52.73
Alagoas,1-VA-1-AL           ,0.62,0.06,0.4,0.48,427.0,64.52,77.42
Alagoas,1-VA-1-AL           ,0.54,0.07,0.3,0.36,427.0,55.56,66.67
Alagoas,1-VA-1-AL           ,0.7,0.06,0.36,0.14,425.0,51.43,20.0
Alagoas,1-VA-1-AL           ,0.58,0.06,0.4,0.44,429.0,68.97,75.86
Alagoas,1-VA-1-AL           ,0.56,0.05,0.36,0.27,427.0,64.29,48.21
Alagoas,1-VA-1-AL           ,0.78,0.12,1.13,0.42,429.0,144.87,53.85
Alagoas,1-VA-1-AL           ,0.56,0.07,0.24,0.69,422.0,42.86,123.21
Alagoas,1-VA-1-AL           ,0.97,0.11,1.64,1.16,427.0,169.07,119.59
Alagoas,1-VA-1-AL           ,0.76,0.11,0.84,0.7,425.0,110.53,92.11
Alagoas,1-VA-1-AL           ,1.55,0.24,4.73,1.06,421.0,305.16,68.39
Alagoas,1-VA-1-AL           ,1.14,0.14,2.52,1.08,428.0,221.05,94.74
Alagoas,1-VA-1-AL           ,1.39,0.19,3.18,1.28,424.0,228.78,92.09
Alagoas,1-VA-1-AL           ,0.52,0.09,0.43,0.63,422.0,82.69,121.15
Alagoas,1-VA-1-AL           ,0.48,,,,,,
Alagoas,1-VA-1-AL           ,0.55,0.09,0.5,0.72,422.0,90.91,130.91
Alagoas,1-VA-1-AL           ,0.5,0.1,0.36,0.64,422.0,72.0,128.0
Alagoas,1-VA-1-AL           ,0.64,0.08,0.52,0.47,424.0,81.25,73.44
Alagoas,1-VA-1-AL           ,0.54,0.07,0.41,0.47,425.0,75.93,87.04
Alagoas,1-VA-1-AL           ,0.95,0.09,1.31,0.55,429.0,137.89,57.89
Alagoas,1-VA-1-AL           ,0.98,0.14,1.69,0.8,431.0,172.45,81.63
Alagoas,1-VA-1-AL           ,0.64,0.15,0.84,1.38,426.0,131.25,215.63
Alagoas,1-VA-1-AL           ,1.01,0.18,1.93,1.17,429.0,191.09,115.84
Alagoas,1-VA-1-AL           ,0.55,0.1,0.46,0.92,427.0,83.64,167.27
Alagoas,1-VA-1-AL           ,0.76,0.11,0.76,0.64,428.0,100.0,84.21
Alagoas,1-VA-1-AL           ,0.69,0.09,0.66,0.71,426.0,95.65,102.9
Alagoas,1-VA-1-AL           ,0.5,0.09,0.36,0.53,423.0,72.0,106.0
Alagoas,1-VA-1-AL           ,0.79,0.11,0.77,1.45,428.0,97.47,183.54
Alagoas,1-VA-1-AL           ,0.66,0.14,1.0,0.96,426.0,151.52,145.45
Alagoas,1-VA-1-AL           ,0.83,0.1,0.94,0.83,429.0,113.25,100.0
Alagoas,1-VA-1-AL           ,1.09,0.09,2.21,0.6,432.0,202.75,55.05
Alagoas,1-VA-1-AL           ,0.98,0.1,1.34,0.66,432.0,136.73,67.35
Alagoas,1-VA-1-AL           ,0.8,0.09,0.66,0.73,426.0,82.5,91.25
Alagoas,1-VA-1-AL           ,2.24,0.27,6.27,1.25,431.0,279.91,55.8
Alagoas,1-VA-1-AL           ,0.56,0.1,0.36,0.49,423.0,64.29,87.5
Alagoas,1-VA-1-AL           ,1.13,1.2,0.4,0.81,424.0,35.4,71.68
Alagoas,1-VA-1-AL           ,1.06,1.42,1.09,0.82,431.0,102.83,77.36
Alagoas,1-VA-1-AL           ,0.77,1.64,0.74,0.97,427.0,96.1,125.97
Alagoas,1-VA-1-AL           ,2.24,1.29,2.01,1.54,423.0,89.73,68.75
Alagoas,1-VA-1-AL           ,2.18,1.51,7.34,1.56,426.0,336.7,71.56
Alagoas,1-VA-1-AL           ,10.24,1.79,50.8,1.86,426.0,496.09,18.16
Alagoas,1-VA-1-AL           ,13.37,1.58,57.57,2.55,422.0,430.59,19.07
Alagoas,1-VA-1-AL           ,3.13,1.62,11.29,1.14,427.0,360.7,36.42
Alagoas,1-VA-1-AL           ,8.33,1.58,38.7,1.63,428.0,464.59,19.57
Alagoas,1-VA-1-AL           ,1.44,0.6,2.78,1.11,433.0,193.06,77.08
Alagoas,1-VA-1-AL           ,0.91,0.74,1.03,0.65,430.0,113.19,71.43
Alagoas,1-VA-1-AL           ,10.75,1.48,42.25,1.66,426.0,393.02,15.44
Alagoas,1-VA-1-AL           ,3.27,1.33,14.56,1.07,429.0,445.26,32.72
Alagoas,1-VA-1-AL           ,18.42,4.1,80.7,2.07,434.0,438.11,11.24
Alagoas,1-VA-1-AL           ,7.36,1.77,36.67,2.3,428.0,498.23,31.25
Alagoas,1-VA-1-AL           ,2.24,1.07,6.8,0.92,430.0,303.57,41.07
Alagoas,1-VA-1-AL           ,1.96,0.85,6.48,1.2,433.0,330.61,61.22
Alagoas,1-VA-1-AL           ,1.0,0.49,1.59,1.0,435.0,159.0,100.0
Alagoas,1-VA-1-AL           ,1.61,0.65,4.05,1.22,431.0,251.55,75.78
Alagoas,1-VA-1-AL           ,0.72,0.68,0.65,0.81,427.0,90.28,112.5
Alagoas,1-VA-1-AL           ,0.84,0.47,0.4,0.75,429.0,47.62,89.29
Alagoas,1-VA-1-AL           ,0.85,0.32,0.98,0.82,434.0,115.29,96.47
Alagoas,1-VA-1-AL           ,4.53,1.03,17.83,1.46,430.0,393.6,32.23
Alagoas,1-VA-1-AL           ,8.26,1.43,37.86,1.58,436.0,458.35,19.13
Alagoas,1-VA-1-AL           ,4.68,1.24,21.63,0.93,431.0,462.18,19.87
Alagoas,1-VA-1-AL           ,4.76,0.98,22.98,1.19,431.0,482.77,25.0
Alagoas,1-VA-1-AL           ,3.02,0.82,10.89,0.79,430.0,360.6,26.16
Alagoas,1-VA-1-AL           ,8.93,1.56,37.24,1.96,429.0,417.02,21.95
Alagoas,1-VA-1-AL           ,11.95,1.08,52.82,3.59,429.0,442.01,30.04
Alagoas,1-VA-1-AL           ,12.98,1.02,61.51,2.15,428.0,473.88,16.56
Alagoas,1-VA-1-AL           ,2.59,0.44,7.79,1.23,432.0,300.77,47.49
Alagoas,1-VA-1-AL           ,2.11,0.52,4.06,1.23,433.0,192.42,58.29
Alagoas,1-VA-1-AL           ,1.72,0.58,4.47,0.95,434.0,259.88,55.23
Alagoas,1-VA-1-AL           ,8.37,1.74,42.06,1.96,431.0,502.51,23.42
Alagoas,1-VA-1-AL           ,2.7,0.43,10.13,1.18,431.0,375.19,43.7
Alagoas,1-VA-1-AL           ,10.84,1.01,53.33,1.75,434.0,491.97,16.14
Alagoas,1-VA-1-AL           ,6.04,0.82,23.05,1.31,430.0,381.62,21.69
Alagoas,1-VA-1-AL           ,2.52,0.36,6.3,0.7,434.0,250.0,27.78
Alagoas,1-VA-1-AL           ,7.76,1.7,32.16,1.37,414.0,414.43,17.65
Alagoas,1-VA-1-AL           ,5.31,1.21,24.34,0.97,433.0,458.38,18.27
Alagoas,1-VA-1-AL           ,1.33,0.44,2.03,0.94,436.0,152.63,70.68
Alagoas,1-VA-1-AL           ,1.0,0.7,1.53,0.45,437.0,153.0,45.0
Alagoas,1-VA-1-AL           ,3.17,0.87,11.9,0.75,436.0,375.39,23.66
Alagoas,1-VA-1-AL           ,0.56,0.69,0.48,0.7,424.0,85.71,125.0
Alagoas,1-VA-1-AL           ,0.69,1.02,0.9,0.53,434.0,130.43,76.81
Alagoas,1-VA-1-AL           ,0.63,1.19,0.64,0.73,427.0,101.59,115.87
Alagoas,1-VA-1-AL           ,0.57,0.91,0.53,0.59,427.0,92.98,103.51
Alagoas,1-VA-1-AL           ,4.45,1.45,15.91,1.02,434.0,357.53,22.92
Alagoas,1-VA-1-AL           ,0.71,1.57,0.72,0.71,431.0,101.41,100.0
Alagoas,1-VA-1-AL           ,0.92,0.14,0.74,0.57,432.0,80.43,61.96
Alagoas,1-VA-1-AL           ,0.62,0.2,0.54,1.03,427.0,87.1,166.13
Alagoas,1-VA-1-AL           ,2.51,0.28,9.06,0.48,435.0,360.96,19.12
Alagoas,1-VA-1-AL           ,1.19,0.1,1.79,0.53,440.0,150.42,44.54
Alagoas,1-VA-1-AL           ,0.92,0.06,0.65,0.32,434.0,70.65,34.78
Alagoas,1-VA-1-AL           ,1.17,0.08,1.36,0.33,438.0,116.24,28.21
Alagoas,1-VA-1-AL           ,5.72,1.05,29.01,1.02,437.0,507.17,17.83
Alagoas,1-VA-1-AL           ,6.81,1.26,29.36,1.01,434.0,431.13,14.83
Alagoas,1-VA-1-AL           ,11.37,1.72,76.48,1.36,436.0,672.65,11.96
Alagoas,1-VA-1-AL           ,5.47,0.93,21.82,1.07,434.0,398.9,19.56
Alagoas,1-VA-1-AL           ,2.93,0.67,8.73,0.72,436.0,297.95,24.57
Alagoas,1-VA-1-AL           ,1.33,0.99,2.96,0.66,437.0,222.56,49.62
Alagoas,1-VA-1-AL           ,9.56,0.96,73.24,1.27,436.0,766.11,13.28
Alagoas,1-VA-1-AL           ,8.7,1.84,42.44,1.32,436.0,487.82,15.17
Alagoas,1-VA-1-AL           ,1.88,0.82,5.01,0.89,441.0,266.49,47.34
Alagoas,1-VA-1-AL           ,4.33,0.6,14.35,0.78,437.0,331.41,18.01
Alagoas,1-VA-1-AL           ,2.53,0.52,8.72,0.83,437.0,344.66,32.81
Alagoas,1-VA-1-AL           ,2.14,0.4,5.26,0.54,437.0,245.79,25.23
Alagoas,1-VA-1-AL           ,1.22,0.37,2.02,0.66,438.0,165.57,54.1
Alagoas,1-VA-1-AL           ,1.17,0.49,2.39,0.47,440.0,204.27,40.17
Alagoas,1-VA-1-AL           ,3.36,0.88,18.01,0.72,437.0,536.01,21.43
Alagoas,1-VA-1-AL           ,2.09,0.62,6.22,0.71,438.0,297.61,33.97
Alagoas,1-VA-1-AL           ,5.73,1.02,27.24,1.2,439.0,475.39,20.94
Alagoas,1-VA-1-AL           ,3.37,0.82,12.44,0.68,437.0,369.14,20.18
Alagoas,1-VA-1-AL           ,1.37,0.51,2.86,0.4,439.0,208.76,29.2
Alagoas,1-VA-1-AL           ,6.33,1.58,30.47,1.04,437.0,481.36,16.43
Alagoas,1-VA-1-AL           ,2.94,0.81,11.94,0.72,439.0,406.12,24.49
Alagoas,1-VA-1-AL           ,2.17,0.72,7.64,0.68,438.0,352.07,31.34
Alagoas,1-VA-1-AL           ,1.85,0.57,5.56,0.47,438.0,300.54,25.41
Alagoas,1-VA-1-AL           ,0.75,0.74,0.74,0.51,434.0,98.67,68.0
Alagoas,1-VA-1-AL           ,4.81,1.43,25.55,0.62,439.0,531.19,12.89
Alagoas,1-VA-1-AL           ,1.36,0.44,3.59,0.39,437.0,263.97,28.68
Alagoas,1-VA-1-AL           ,0.99,0.38,1.27,0.69,441.0,128.28,69.7
Alagoas,1-VA-1-AL           ,1.02,0.46,1.5,0.62,439.0,147.06,60.78
Alagoas,1-VA-1-AL           ,1.1,0.51,1.65,1.27,438.0,150.0,115.45
Alagoas,1-VA-1-AL           ,0.84,0.46,1.09,0.85,440.0,129.76,101.19
Alagoas,1-VA-1-AL           ,1.12,0.28,2.04,0.41,440.0,182.14,36.61
Alagoas,1-VA-1-AL           ,2.59,0.37,5.28,1.25,441.0,203.86,48.26
Alagoas,1-VA-1-AL           ,2.39,0.58,12.97,0.91,438.0,542.68,38.08
Alagoas,1-VA-1-AL           ,1.22,0.22,1.99,0.51,440.0,163.11,41.8
Alagoas,1-VA-1-AL           ,1.07,0.21,1.84,0.51,438.0,171.96,47.66
Alagoas,1-VA-1-AL           ,0.68,0.1,0.86,3.08,443.0,126.47,452.94
Alagoas,1-VA-1-AL           ,4.65,1.69,22.69,0.85,435.0,487.96,18.28
Alagoas,1-VA-1-AL           ,2.08,0.52,5.81,2.68,437.0,279.33,128.85
Alagoas,1-VA-1-AL           ,1.67,0.39,3.45,1.3,438.0,206.59,77.84
Alagoas,1-VA-1-AL           ,2.44,0.6,8.51,0.38,437.0,348.77,15.57
Alagoas,1-VA-1-AL           ,1.43,0.36,3.0,1.79,437.0,209.79,125.17
Alagoas,1-VA-1-AL           ,1.06,0.31,1.61,0.67,435.0,151.89,63.21
Alagoas,1-VA-1-AL           ,0.92,0.21,0.86,0.42,436.0,93.48,45.65
Alagoas,1-VA-1-AL           ,1.22,0.18,1.4,1.13,441.0,114.75,92.62
Alagoas,1-VA-1-AL           ,2.12,0.38,6.46,0.78,438.0,304.72,36.79
Alagoas,1-VA-1-AL           ,1.41,0.28,2.59,1.31,437.0,183.69,92.91
Alagoas,1-VA-1-AL           ,1.67,0.28,3.06,0.7,439.0,183.23,41.92
Alagoas,1-VA-1-AL           ,5.22,0.87,23.62,0.59,437.0,452.49,11.3
Alagoas,1-VA-1-AL           ,1.25,0.36,2.31,0.73,437.0,184.8,58.4
Alagoas,1-VA-1-AL           ,1.63,0.39,3.27,0.97,437.0,200.61,59.51
Alagoas,1-VA-1-AL           ,1.62,0.41,3.97,0.35,436.0,245.06,21.6
Alagoas,1-VA-1-AL           ,2.25,0.62,5.38,0.47,437.0,239.11,20.89
Alagoas,1-VA-1-AL           ,1.56,0.15,1.54,2.1,441.0,98.72,134.62
Alagoas,1-VA-1-AL           ,1.14,0.19,1.38,0.89,439.0,121.05,78.07
Alagoas,1-VA-1-AL           ,1.45,0.54,3.81,1.98,437.0,262.76,136.55
Alagoas,1-VA-1-AL           ,0.97,0.17,1.22,0.67,441.0,125.77,69.07
Alagoas,1-VA-1-AL           ,1.91,0.46,3.92,0.85,439.0,205.24,44.5
Alagoas,1-VA-1-AL           ,1.75,0.33,3.86,0.48,439.0,220.57,27.43
Alagoas,1-VA-1-AL           ,1.3,0.3,2.45,1.1,438.0,188.46,84.62
Alagoas,1-VA-1-AL           ,1.15,0.35,2.05,0.54,438.0,178.26,46.96
Alagoas,1-VA-1-AL           ,1.04,,0.58,1.03,448.0,55.77,99.04
Alagoas,1-VA-1-AL           ,1.39,0.28,2.26,0.52,440.0,162.59,37.41
Alagoas,1-VA-1-AL           ,1.2,0.23,1.56,0.4,439.0,130.0,33.33
Alagoas,1-VA-1-AL           ,1.41,0.27,2.28,0.46,439.0,161.7,32.62
Alagoas,1-VA-1-AL           ,3.39,0.61,10.67,0.6,441.0,314.75,17.7
Alagoas,1-VA-1-AL           ,1.23,0.21,1.36,0.41,439.0,110.57,33.33
Alagoas,1-VA-1-AL           ,1.74,0.08,0.87,1.36,426.0,50.0,78.16
Alagoas,1-VA-1-AL           ,1.6,0.01,0.68,1.43,426.0,42.5,89.37
Alagoas,1-VA-1-AL           ,2.58,0.06,1.43,2.01,422.0,55.43,77.91
Alagoas,1-VA-1-AL           ,0.34,,,,,,
Alagoas,1-VA-1-AL           ,3.96,0.88,23.21,1.22,427.0,586.11,30.81
Alagoas,1-VJ-1-AL           ,3.15,0.72,18.14,0.51,427.0,575.87,16.19
Alagoas,1-VJ-1-AL           ,0.62,,,,,,
Alagoas,1-VJ-1-AL           ,3.87,0.56,22.59,0.49,429.0,583.72,12.66
Alagoas,1-VJ-1-AL           ,0.64,,,,,,
Alagoas,1-VJ-1-AL           ,4.34,0.69,26.2,0.95,429.0,603.69,21.89
Alagoas,1-VJ-1-AL           ,2.96,0.44,13.81,0.4,432.0,466.55,13.51
Alagoas,1-VJ-1-AL           ,3.22,0.66,18.17,0.6,430.0,564.29,18.63
Alagoas,1-VJ-1-AL           ,5.99,1.14,39.18,0.73,435.0,654.09,12.19
Alagoas,1-VJ-1-AL           ,5.6,1.68,31.1,0.67,434.0,555.36,11.96
Alagoas,1-VJ-1-AL           ,6.18,1.21,37.67,1.06,436.0,609.55,17.15
Alagoas,1-VJ-1-AL           ,10.8,0.08,34.1,0.51,436.0,315.74,4.72
Alagoas,1-VJ-1-AL           ,4.92,1.17,29.22,0.48,432.0,593.9,9.76
Alagoas,1-VJ-1-AL           ,3.68,0.59,20.55,0.54,435.0,558.42,14.67
Alagoas,1-VJ-1-AL           ,5.44,1.75,26.58,0.66,433.0,488.6,12.13
Alagoas,1-VJ-1-AL           ,2.22,0.82,9.33,0.48,437.0,420.27,21.62
Alagoas,1-VJ-1-AL           ,2.59,1.16,10.0,0.43,433.0,386.1,16.6
Alagoas,1-VJ-1-AL           ,2.72,0.86,10.4,0.5,436.0,382.35,18.38
Alagoas,1-VJ-1-AL           ,2.41,1.28,8.81,0.5,436.0,365.56,20.75
Alagoas,1-VJ-1-AL           ,3.64,0.08,16.07,0.52,435.0,441.48,14.29
Alagoas,1-VJ-1-AL           ,5.71,0.07,30.13,0.56,436.0,527.67,9.81
