Bacia,Poço,COT,S1,S2,S3,Tmax,HI,OI
Alagoas,1-TM-1-AL           ,0.51,,,,,,
Alagoas,1-TM-1-AL           ,0.69,,,,,,
Alagoas,1-TM-1-AL           ,0.69,,,,,,
Alagoas,1-TM-1-AL           ,0.67,,,,,,
Alagoas,1-TM-1-AL           ,0.42,,,,,,
Alagoas,1-TM-1-AL           ,0.55,,,,,,
Alagoas,1-TM-1-AL           ,0.68,,,,,,
Alagoas,1-TM-1-AL           ,2.27,0.27,9.48,0.5,436.0,417.62,22.03
Alagoas,1-TM-1-AL           ,0.68,,,,,,
Alagoas,1-TM-1-AL           ,0.74,,,,,,
Alagoas,1-TM-1-AL           ,0.87,,,,,,
Alagoas,1-TM-1-AL           ,0.87,,,,,,
Alagoas,1-TM-1-AL           ,1.11,0.12,0.92,0.59,434.0,82.88,53.15
Alagoas,1-TM-1-AL           ,0.57,,,,,,
Alagoas,1-TM-1-AL           ,0.73,,,,,,
Alagoas,1-TM-1-AL           ,1.17,0.12,1.54,0.59,441.0,131.62,50.43
Alagoas,1-TM-1-AL           ,2.69,0.19,5.46,0.38,442.0,202.97,14.13
Alagoas,1-TM-1-AL           ,0.73,,,,,,
Alagoas,1-TM-1-AL           ,0.72,,,,,,
Alagoas,1-TM-1-AL           ,0.9,0.12,0.69,0.58,436.0,76.67,64.44
Alagoas,1-TM-1-AL           ,0.53,,,,,,
Alagoas,1-TM-1-AL           ,0.95,0.12,0.87,0.51,437.0,91.58,53.68
Alagoas,1-TM-1-AL           ,0.56,,,,,,
Alagoas,1-TM-1-AL           ,0.64,,,,,,
Alagoas,1-TM-1-AL           ,1.57,0.11,2.92,0.54,438.0,185.99,34.39
Alagoas,1-TM-1-AL           ,0.58,,,,,,
Alagoas,1-TM-1-AL           ,1.2,0.14,1.3,0.59,438.0,108.33,49.17
Alagoas,1-TM-1-AL           ,0.54,,,,,,
Alagoas,1-TM-1-AL           ,1.41,0.19,2.06,0.32,438.0,146.1,22.7
Alagoas,1-TM-1-AL           ,0.8,,,,,,
Alagoas,1-TM-1-AL           ,0.85,,,,,,
Alagoas,1-TM-1-AL           ,1.06,0.14,1.07,0.53,440.0,100.94,50.0
Alagoas,1-TM-1-AL           ,0.78,,,,,,
Alagoas,1-TM-1-AL           ,1.21,0.19,1.3,0.79,436.0,107.44,65.29
Alagoas,1-TM-1-AL           ,1.29,0.19,1.1,0.59,438.0,85.27,45.74
Alagoas,1-TM-1-AL           ,1.04,0.2,1.08,0.45,445.0,103.85,43.27
Alagoas,1-TM-1-AL           ,0.93,0.1,0.68,0.48,440.0,73.12,51.61
Alagoas,1-TM-1-AL           ,1.63,0.38,3.04,0.43,444.0,186.5,26.38
Alagoas,1-TM-1-AL           ,2.69,0.48,5.52,0.55,440.0,205.2,20.45
Alagoas,1-TM-1-AL           ,1.03,0.19,0.94,0.59,439.0,91.26,57.28
Alagoas,1-TM-1-AL           ,0.74,,,,,,
Alagoas,1-TM-1-AL           ,0.95,0.12,0.79,0.52,439.0,83.16,54.74
Alagoas,1-TM-1-AL           ,1.53,0.21,2.23,0.56,441.0,145.75,36.6
Alagoas,1-TM-1-AL           ,1.05,0.23,1.28,0.35,438.0,121.9,33.33
Alagoas,1-TM-1-AL           ,1.59,0.49,2.67,0.64,441.0,167.92,40.25
Alagoas,1-TM-1-AL           ,1.69,0.36,2.94,0.64,438.0,173.96,37.87
Alagoas,1-TM-1-AL           ,1.13,0.25,1.56,0.25,443.0,138.05,22.12
Alagoas,1-TM-1-AL           ,2.21,0.45,5.14,0.51,440.0,232.58,23.08
Alagoas,1-TM-1-AL           ,1.86,0.42,3.63,0.53,443.0,195.16,28.49
Alagoas,1-TM-1-AL           ,1.78,0.31,2.98,0.3,445.0,167.42,16.85
Alagoas,1-TM-1-AL           ,1.03,0.2,1.23,0.25,445.0,119.42,24.27
Alagoas,1-TM-1-AL           ,1.49,0.33,2.27,0.27,445.0,152.35,18.12
Alagoas,1-TM-1-AL           ,1.6,0.34,2.0,0.27,447.0,125.0,16.88
Alagoas,1-TM-1-AL           ,1.35,0.3,1.85,0.31,441.0,137.04,22.96
Alagoas,1-TM-1-AL           ,1.52,0.32,1.83,0.31,440.0,120.39,20.39
Alagoas,1-TM-1-AL           ,1.37,0.23,1.49,0.49,439.0,108.76,35.77
Alagoas,1-TM-1-AL           ,1.55,0.26,1.84,0.33,441.0,118.71,21.29
Alagoas,1-TM-1-AL           ,1.53,0.42,1.43,0.29,445.0,93.46,18.95
Alagoas,1-TM-1-AL           ,1.12,0.32,0.88,0.35,442.0,78.57,31.25
Alagoas,1-TM-1-AL           ,1.2,0.2,1.19,0.37,440.0,99.17,30.83
Alagoas,1-TM-1-AL           ,1.33,0.31,1.15,0.24,443.0,86.47,18.05
Alagoas,1-TM-1-AL           ,1.47,0.33,1.66,0.3,442.0,112.93,20.41
Alagoas,1-TM-1-AL           ,1.28,0.36,1.08,0.46,437.0,84.38,35.94
Alagoas,1-TM-1-AL           ,1.39,0.3,1.15,0.25,443.0,82.73,17.99
Alagoas,1-TM-1-AL           ,1.3,0.37,0.9,0.25,446.0,69.23,19.23
Alagoas,1-TM-1-AL           ,1.54,0.4,1.52,0.19,447.0,98.7,12.34
Alagoas,1-TM-1-AL           ,1.45,0.57,0.94,0.24,448.0,64.83,16.55
Alagoas,1-TM-1-AL           ,1.35,0.39,1.45,0.25,447.0,107.41,18.52
Alagoas,1-TM-1-AL           ,1.24,0.43,1.0,0.22,447.0,80.65,17.74
Alagoas,1-TM-1-AL           ,0.42,,,,,,
Alagoas,1-TM-1-AL           ,0.6,,,,,,
Alagoas,1-TM-1-AL           ,0.64,,,,,,
Alagoas,1-TM-1-AL           ,0.48,,,,,,
Alagoas,1-TM-1-AL           ,0.51,,,,,,
Alagoas,1-TM-1-AL           ,0.48,,,,,,
Alagoas,1-TM-1-AL           ,0.49,,,,,,
Alagoas,1-TM-1-AL           ,0.68,,,,,,
Alagoas,1-JA-1-AL           ,1.12,0.09,2.91,0.23,438.0,259.82,20.54
Alagoas,1-JA-1-AL           ,1.06,0.03,1.73,0.33,438.0,163.21,31.13
Alagoas,1-JA-1-AL           ,1.36,0.1,4.24,0.31,436.0,311.76,22.79
Alagoas,1-JA-1-AL           ,1.48,0.09,2.66,0.46,436.0,179.73,31.08
Alagoas,1-JA-1-AL           ,1.56,0.14,4.24,0.31,438.0,271.79,19.87
Alagoas,1-JA-1-AL           ,1.94,0.22,8.16,0.41,437.0,420.62,21.13
Alagoas,1-JA-1-AL           ,2.07,0.63,9.71,0.31,441.0,469.08,14.98
Alagoas,1-JA-1-AL           ,1.78,0.19,5.28,0.39,438.0,296.63,21.91
Alagoas,1-JA-1-AL           ,0.98,0.06,1.24,0.32,442.0,126.53,32.65
Alagoas,1-JA-1-AL           ,1.68,0.28,6.68,0.31,439.0,397.62,18.45
Alagoas,1-JA-1-AL           ,1.19,0.14,2.24,0.3,438.0,188.24,25.21
Alagoas,1-JA-1-AL           ,1.64,0.35,2.92,0.34,437.0,178.05,20.73
Alagoas,1-JA-1-AL           ,1.56,0.19,2.16,0.27,437.0,138.46,17.31
Alagoas,1-JA-1-AL           ,1.34,0.24,4.17,0.32,436.0,311.19,23.88
Alagoas,1-JA-1-AL           ,0.97,0.1,1.27,0.25,438.0,130.93,25.77
Alagoas,1-JA-1-AL           ,1.44,0.22,2.57,0.31,437.0,178.47,21.53
Alagoas,1-JA-1-AL           ,1.34,0.19,1.9,0.31,438.0,141.79,23.13
Alagoas,1-JA-1-AL           ,1.0,0.2,1.77,0.24,435.0,177.0,24.0
Alagoas,1-JA-1-AL           ,0.86,,,,,,
Alagoas,1-JA-1-AL           ,0.81,,,,,,
Alagoas,1-JA-1-AL           ,0.86,,,,,,
