Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-186-ESS,4700.00,1.22,,,,,,,
1-BRSA-186-ESS,4700.00,1.22,0.31,3.46,3.37,436.00,,283.61,276.23
1-BRSA-186-ESS,4709.00,1.11,,,,,,,
1-BRSA-186-ESS,4709.00,1.11,0.49,3.85,2.86,436.00,,346.85,257.66
1-BRSA-186-ESS,4718.00,2.06,0.27,7.96,2.38,437.00,,386.41,115.53
1-BRSA-186-ESS,4718.00,2.06,,,,,,,
1-BRSA-186-ESS,4727.00,2.32,,,,,,,
1-BRSA-186-ESS,4727.00,2.32,0.27,8.40,2.62,435.00,,362.07,112.93
1-BRSA-186-ESS,4736.00,2.66,0.32,9.81,3.16,435.00,,368.80,118.80
1-BRSA-186-ESS,4736.00,2.66,,,,,,,
1-BRSA-186-ESS,4745.00,2.84,,,,,,,
1-BRSA-186-ESS,4745.00,2.84,0.24,10.82,4.00,435.00,,380.99,140.85
1-BRSA-186-ESS,4754.00,1.56,0.32,3.90,9.00,438.00,,250.00,576.92
1-BRSA-186-ESS,4754.00,1.56,,,,,,,
1-BRSA-186-ESS,4763.00,2.27,0.28,9.90,3.94,435.00,,436.12,173.57
1-BRSA-186-ESS,4763.00,2.27,,,,,,,
1-BRSA-186-ESS,4772.00,1.09,,,,,,,
1-BRSA-186-ESS,4772.00,1.09,0.19,2.33,7.25,439.00,,213.76,665.14
1-BRSA-186-ESS,4781.00,0.67,,,,,,,
1-BRSA-186-ESS,4790.00,0.60,,,,,,,
1-BRSA-186-ESS,4793.00,0.40,,,,,,,
1-BRSA-186-ESS,4796.00,0.39,,,,,,,
1-BRSA-186-ESS,4799.00,0.43,,,,,,,
1-BRSA-186-ESS,4802.00,0.47,,,,,,,
1-BRSA-186-ESS,4805.00,0.54,,,,,,,
1-BRSA-186-ESS,4808.00,0.62,,,,,,,
1-BRSA-186-ESS,4811.00,0.59,,,,,,,
1-BRSA-186-ESS,4814.00,0.61,,,,,,,
1-BRSA-186-ESS,4817.00,0.45,,,,,,,
1-BRSA-186-ESS,4820.00,0.65,,,,,,,
1-BRSA-186-ESS,4826.00,0.53,,,,,,,
1-BRSA-186-ESS,4835.00,0.72,0.34,0.57,11.90,291.00,,78.95,1648.20
1-BRSA-186-ESS,4835.00,0.72,,,,,,,
1-BRSA-186-ESS,4844.00,0.71,,,,,,,
1-BRSA-186-ESS,4844.00,0.71,0.22,0.96,2.31,437.00,,135.21,325.35
1-BRSA-186-ESS,4853.00,0.81,0.12,0.32,3.06,300.00,,39.41,376.85
1-BRSA-186-ESS,4853.00,0.81,,,,,,,
1-BRSA-186-ESS,4862.00,0.52,,,,,,,
1-BRSA-186-ESS,4871.00,0.26,,,,,,,
1-BRSA-186-ESS,4880.00,0.25,,,,,,,
1-BRSA-186-ESS,5033.00,0.20,,,,,,,
1-BRSA-186-ESS,5501.00,0.16,,,,,,,
1-BRSA-186-ESS,5519.00,0.21,,,,,,,
1-BRSA-186-ESS,5528.00,1.49,0.06,0.96,3.79,458.00,,64.43,254.36
1-BRSA-186-ESS,5528.00,1.49,,,,,,,
1-BRSA-186-ESS,5537.00,1.38,,,,,,,
1-BRSA-186-ESS,5537.00,1.38,0.07,0.87,3.96,450.00,,63.04,286.96
1-BRSA-186-ESS,5546.00,1.61,,,,,,,
1-BRSA-186-ESS,5546.00,1.61,0.07,0.58,5.13,450.00,,36.02,318.63
1-BRSA-186-ESS,5555.00,1.32,,,,,,,
1-BRSA-186-ESS,5555.00,1.32,0.10,1.39,1.84,446.00,,105.30,139.39
1-BRSA-186-ESS,5564.00,1.01,0.09,1.21,1.93,447.00,,119.80,191.09
1-BRSA-186-ESS,5564.00,1.01,,,,,,,
1-BRSA-186-ESS,5573.00,1.05,0.05,0.39,6.52,453.00,,37.14,620.95
1-BRSA-186-ESS,5573.00,1.05,,,,,,,
1-BRSA-186-ESS,5582.00,1.02,0.04,0.43,6.35,454.00,,42.16,622.55
1-BRSA-186-ESS,5582.00,1.02,,,,,,,
1-BRSA-186-ESS,5591.00,0.94,,,,,,,
1-BRSA-186-ESS,5591.00,0.94,0.12,0.90,2.17,445.00,,95.74,230.85
1-BRSA-186-ESS,5600.00,1.02,0.03,0.34,4.92,452.00,,33.33,482.35
1-BRSA-186-ESS,5600.00,1.02,,,,,,,
1-BRSA-186-ESS,5609.00,0.94,0.05,0.44,4.71,451.00,,46.76,500.53
1-BRSA-186-ESS,5609.00,0.94,,,,,,,
1-BRSA-186-ESS,5618.00,0.91,0.12,0.64,2.26,450.00,,70.33,248.35
1-BRSA-186-ESS,5618.00,0.91,,,,,,,
1-BRSA-186-ESS,5627.00,0.89,0.04,0.35,6.51,455.00,,39.24,729.82
1-BRSA-186-ESS,5627.00,0.89,,,,,,,
1-BRSA-186-ESS,5636.00,0.74,0.13,0.96,1.67,442.00,,129.73,225.68
1-BRSA-186-ESS,5636.00,0.74,,,,,,,
1-BRSA-186-ESS,5645.00,0.72,,,,,,,
1-BRSA-186-ESS,5645.00,0.72,0.07,0.41,2.86,449.00,,56.63,395.03
1-BRSA-186-ESS,5654.00,1.00,,,,,,,
1-BRSA-186-ESS,5654.00,1.00,0.09,1.10,1.65,447.00,,110.00,165.00
1-BRSA-186-ESS,5663.00,0.64,,,,,,,
1-BRSA-186-ESS,5672.00,0.56,,,,,,,
1-BRSA-186-ESS,5681.00,0.54,,,,,,,
1-BRSA-186-ESS,5690.00,0.55,,,,,,,
1-BRSA-186-ESS,5708.00,0.55,,,,,,,
1-BRSA-186-ESS,5717.00,0.41,,,,,,,
1-BRSA-186-ESS,5726.00,0.31,,,,,,,
1-BRSA-186-ESS,5735.00,0.36,,,,,,,
1-BRSA-186-ESS,5744.00,0.36,,,,,,,
1-BRSA-186-ESS,5753.00,0.27,,,,,,,
1-BRSA-186-ESS,5762.00,0.35,,,,,,,
1-BRSA-186-ESS,5789.00,0.50,,,,,,,
1-BRSA-186-ESS,6086.00,0.56,,,,,,,
1-BRSA-186-ESS,6095.00,0.60,,,,,,,
1-BRSA-186-ESS,6104.00,0.58,,,,,,,
1-BRSA-186-ESS,6113.00,0.56,,,,,,,
1-BRSA-186-ESS,6122.00,0.55,,,,,,,
1-BRSA-186-ESS,6131.00,0.76,,,,,,,
1-BRSA-186-ESS,6131.00,0.76,0.05,0.26,4.77,473.00,,34.08,625.16
1-BRSA-186-ESS,6140.00,0.55,,,,,,,
1-BRSA-186-ESS,6149.00,0.53,,,,,,,
1-BRSA-186-ESS,6158.00,0.66,,,,,,,
1-BRSA-186-ESS,6167.00,0.94,0.16,0.55,2.56,344.00,,58.26,271.19
1-BRSA-186-ESS,6167.00,0.94,,,,,,,
1-BRSA-186-ESS,6176.00,0.54,,,,,,,
1-BRSA-186-ESS,6185.00,0.68,,,,,,,
1-BRSA-186-ESS,6194.00,0.57,,,,,,,
1-BRSA-186-ESS,6203.00,0.64,,,,,,,
1-BRSA-186-ESS,6212.00,0.69,0.08,0.51,1.74,440.00,,73.91,252.17
1-BRSA-186-ESS,6212.00,0.69,,,,,,,
1-BRSA-186-ESS,6221.00,0.72,0.05,0.33,4.06,353.00,,45.64,561.55
1-BRSA-186-ESS,6221.00,0.72,,,,,,,
1-BRSA-186-ESS,6230.00,0.89,0.11,0.59,1.32,441.00,,66.29,148.31
1-BRSA-186-ESS,6230.00,0.89,,,,,,,
1-BRSA-186-ESS,6239.00,0.84,0.08,0.48,1.50,449.00,,57.49,179.64
1-BRSA-186-ESS,6239.00,0.84,,,,,,,
1-BRSA-186-ESS,6248.00,0.85,,,,,,,
1-BRSA-186-ESS,6248.00,0.85,0.07,0.46,1.63,450.00,,54.12,191.76
1-BRSA-186-ESS,6257.00,0.89,,,,,,,
1-BRSA-186-ESS,6257.00,0.89,0.13,0.64,1.46,439.00,,71.91,164.04
1-BRSA-186-ESS,6266.00,0.86,0.10,0.61,1.47,439.00,,70.93,170.93
1-BRSA-186-ESS,6266.00,0.86,,,,,,,
1-BRSA-186-ESS,6275.00,0.89,0.17,0.64,1.32,439.00,,71.83,148.15
1-BRSA-186-ESS,6275.00,0.89,,,,,,,
1-BRSA-186-ESS,6284.00,0.81,,,,,,,
1-BRSA-186-ESS,6284.00,0.81,0.16,0.56,1.43,436.00,,69.14,176.54
1-BRSA-186-ESS,6293.00,0.89,0.10,0.40,1.92,450.00,,44.94,215.73
1-BRSA-186-ESS,6293.00,0.89,,,,,,,
1-BRSA-186-ESS,6302.00,0.80,0.08,0.46,1.16,444.00,,57.50,145.00
1-BRSA-186-ESS,6302.00,0.80,,,,,,,
1-BRSA-186-ESS,6311.00,0.76,0.10,0.46,1.15,441.00,,60.53,151.32
1-BRSA-186-ESS,6311.00,0.76,,,,,,,
1-BRSA-186-ESS,6320.00,0.79,,,,,,,
1-BRSA-186-ESS,6320.00,0.79,0.10,0.39,1.49,448.00,,49.37,188.61
1-BRSA-186-ESS,6325.00,0.81,0.10,0.33,1.55,465.00,,40.74,191.36
1-BRSA-186-ESS,6325.00,0.81,,,,,,,
1-BRSA-186-ESS,6326.00,0.91,0.19,0.75,1.36,438.00,,82.42,149.45
1-BRSA-186-ESS,6326.00,0.91,,,,,,,
1-BRSA-186-ESS,6329.00,0.93,0.31,0.94,1.48,431.00,,100.97,158.97
1-BRSA-186-ESS,6329.00,0.93,,,,,,,
1-BRSA-186-ESS,6338.00,0.78,0.08,0.46,2.76,350.00,,58.97,353.85
1-BRSA-186-ESS,6338.00,0.78,,,,,,,
1-BRSA-186-ESS,6341.00,0.71,0.19,0.72,1.50,433.00,,101.41,211.27
1-BRSA-186-ESS,6341.00,0.71,,,,,,,
1-BRSA-186-ESS,6344.00,0.86,,,,,,,
1-BRSA-186-ESS,6344.00,0.86,0.24,0.74,1.63,432.00,,86.05,189.53
1-BRSA-186-ESS,6350.00,0.85,0.23,0.85,1.59,434.00,,99.88,186.84
1-BRSA-186-ESS,6350.00,0.85,,,,,,,
1-BRSA-186-ESS,6353.00,0.84,,,,,,,
1-BRSA-186-ESS,6353.00,0.84,0.11,0.56,3.54,344.00,,66.67,421.43
1-BRSA-186-ESS,6356.00,0.84,0.15,0.56,2.85,320.00,,66.67,339.29
1-BRSA-186-ESS,6356.00,0.84,,,,,,,
1-BRSA-186-ESS,6359.00,0.92,0.22,0.84,1.81,439.00,,91.30,196.74
1-BRSA-186-ESS,6359.00,0.92,,,,,,,
1-BRSA-186-ESS,6362.00,1.04,0.13,0.76,2.69,439.00,,73.08,258.65
1-BRSA-186-ESS,6362.00,1.04,,,,,,,
1-BRSA-186-ESS,6365.00,0.93,0.20,0.90,1.97,435.00,,96.77,211.83
1-BRSA-186-ESS,6365.00,0.93,,,,,,,
1-BRSA-186-ESS,6368.00,0.98,0.24,0.93,1.48,435.00,,94.51,150.41
1-BRSA-186-ESS,6368.00,0.98,,,,,,,
1-BRSA-186-ESS,6371.00,0.88,0.10,0.40,7.42,351.00,,45.40,842.22
1-BRSA-186-ESS,6371.00,0.88,,,,,,,
1-BRSA-186-ESS,6374.00,0.91,0.19,0.70,1.63,434.00,,76.59,178.34
1-BRSA-186-ESS,6374.00,0.91,,,,,,,
1-BRSA-186-ESS,6377.00,0.97,0.12,0.49,2.73,346.00,,50.36,280.58
1-BRSA-186-ESS,6377.00,0.97,,,,,,,
1-BRSA-186-ESS,6380.00,0.93,,,,,,,
1-BRSA-186-ESS,6380.00,0.93,0.07,0.35,3.07,346.00,,37.63,330.11
3-BRSA-237-ESS,4126.00,0.98,0.10,1.00,1.16,439.00,,101.83,118.13
3-BRSA-237-ESS,4257.00,2.06,0.25,3.08,0.47,444.00,,149.51,22.82
3-BRSA-237-ESS,4441.00,0.98,0.11,0.84,0.53,443.00,,85.37,53.86
3-BRSA-237-ESS,4480.00,1.41,0.13,1.09,0.60,448.00,,77.30,42.55
3-BRSA-237-ESS,4505.00,1.73,0.22,1.62,0.33,448.00,,93.64,19.08
3-BRSA-237-ESS,4515.00,1.89,0.21,1.83,0.31,449.00,,96.83,16.40
3-BRSA-237-ESS,4569.00,1.77,1.26,3.09,1.89,435.00,,174.58,106.78
3-BRSA-237-ESS,4588.00,2.18,0.26,2.34,0.29,450.00,,107.34,13.30
3-BRSA-237-ESS,4610.00,1.47,0.25,1.79,0.26,449.00,,121.77,17.69
3-BRSA-237-ESS,4627.50,2.18,0.25,2.79,0.13,449.00,,127.98,5.96
3-BRSA-237-ESS,3797.00,1.56,0.66,1.71,2.14,428.00,,109.62,137.18
3-BRSA-237-ESS,3800.00,1.71,0.75,1.78,2.04,432.00,,104.09,119.30
3-BRSA-237-ESS,3803.00,1.52,0.71,1.59,2.06,432.00,,104.61,135.53
3-BRSA-237-ESS,3806.00,1.59,0.73,1.76,1.88,431.00,,110.69,118.24
3-BRSA-237-ESS,3809.00,1.55,0.54,1.53,2.04,433.00,,98.71,131.61
3-BRSA-237-ESS,3812.00,1.64,0.74,1.76,2.00,427.00,,107.32,121.95
3-BRSA-237-ESS,3815.00,1.65,0.72,1.84,1.96,430.00,,111.52,118.79
3-BRSA-237-ESS,3818.00,1.50,0.65,1.64,1.89,430.00,,109.33,126.00
3-BRSA-237-ESS,3821.00,1.63,0.65,1.70,1.88,431.00,,104.29,115.34
3-BRSA-237-ESS,3824.00,1.54,0.65,1.72,1.83,432.00,,111.69,118.83
3-BRSA-237-ESS,3827.00,1.56,0.65,1.75,1.86,429.00,,112.18,119.23
3-BRSA-237-ESS,3830.00,1.60,0.67,1.84,1.94,432.00,,115.00,121.25
3-BRSA-237-ESS,3833.00,1.47,0.54,1.62,1.70,430.00,,110.20,115.65
3-BRSA-237-ESS,3836.00,1.57,0.58,1.82,1.65,432.00,,115.92,105.10
3-BRSA-237-ESS,3839.00,1.44,0.53,1.67,1.58,432.00,,115.97,109.72
3-BRSA-237-ESS,3842.00,1.58,0.62,1.87,1.71,433.00,,118.35,108.23
3-BRSA-237-ESS,3845.00,1.21,0.62,1.28,2.06,430.00,,105.79,170.25
3-BRSA-237-ESS,3848.00,1.52,0.62,1.63,1.94,431.00,,107.24,127.63
3-BRSA-237-ESS,3866.00,1.31,1.06,1.65,2.02,429.00,,125.95,154.20
4-BRSA-249-ESS,4324.00,0.94,0.28,1.97,2.00,431.00,,209.57,212.77
4-BRSA-249-ESS,4342.00,0.66,0.47,1.73,1.45,433.00,,260.94,218.70
4-BRSA-249-ESS,4360.00,0.65,0.40,1.37,1.73,434.00,,210.77,266.15
4-BRSA-249-ESS,4378.00,0.74,0.55,1.74,1.90,432.00,,233.87,255.38
4-BRSA-249-ESS,4396.00,0.74,0.58,1.83,1.50,432.00,,247.30,202.70
4-BRSA-249-ESS,4414.00,0.89,0.69,2.13,1.99,432.00,,239.33,223.60
4-BRSA-249-ESS,4432.00,0.86,0.24,2.21,2.65,345.00,,256.98,308.14
4-BRSA-249-ESS,4450.00,1.23,0.95,2.72,1.74,432.00,,221.14,141.46
4-BRSA-249-ESS,4468.00,1.14,1.06,2.46,1.89,433.00,,215.79,165.79
4-BRSA-249-ESS,4486.00,1.00,1.00,2.27,1.68,432.00,,227.00,168.00
4-BRSA-249-ESS,4504.00,1.07,0.79,2.34,1.39,435.00,,218.69,129.91
4-BRSA-249-ESS,4522.00,1.16,1.02,2.54,1.68,434.00,,218.97,144.83
4-BRSA-249-ESS,4540.00,1.11,0.65,2.08,2.14,437.00,,187.39,192.79
4-BRSA-249-ESS,4558.00,0.95,0.57,1.96,1.36,436.00,,206.32,143.16
4-BRSA-249-ESS,4576.00,0.88,0.60,1.91,1.05,436.00,,217.05,119.32
4-BRSA-249-ESS,4594.00,0.90,0.51,1.98,1.01,434.00,,219.51,111.97
4-BRSA-249-ESS,4612.00,0.77,0.49,1.39,1.52,436.00,,180.52,197.40
4-BRSA-249-ESS,4677.00,1.27,0.78,2.31,1.38,435.00,,181.89,108.66
4-BRSA-265-ESS,3789.00,0.88,0.58,0.95,2.26,421.00,,107.95,256.82
4-BRSA-265-ESS,3852.00,0.90,0.57,0.96,2.24,422.00,,106.67,248.89
4-BRSA-265-ESS,3870.00,1.12,0.95,1.37,2.90,421.00,,122.32,258.93
4-BRSA-265-ESS,3888.00,1.10,0.86,1.35,2.68,422.00,,122.73,243.64
4-BRSA-265-ESS,3906.00,1.28,1.23,1.74,2.75,423.00,,135.94,214.84
4-BRSA-265-ESS,3939.00,1.17,1.03,1.27,2.86,424.00,,108.55,244.44
4-BRSA-265-ESS,3960.00,1.26,1.25,1.31,3.00,423.00,,103.97,238.10
4-BRSA-265-ESS,3987.00,1.37,1.41,1.55,2.70,425.00,,113.14,197.08
4-BRSA-265-ESS,4827.00,1.33,3.65,2.68,2.76,365.00,,201.50,207.52
4-BRSA-265-ESS,4842.00,1.20,3.24,2.30,2.46,364.00,,191.67,205.00
4-BRSA-265-ESS,4860.00,1.10,2.27,2.76,2.02,367.00,,250.91,183.64
4-BRSA-265-ESS,3645.00,1.10,0.59,1.57,1.54,423.00,,142.73,140.00
4-BRSA-265-ESS,3717.00,1.26,0.98,1.88,2.02,422.00,,149.21,160.32
4-BRSA-265-ESS,3735.00,1.18,0.77,1.70,1.74,422.00,,144.07,147.46
4-BRSA-265-ESS,3753.00,1.06,0.93,1.61,2.32,424.00,,151.89,218.87
4-BRSA-265-ESS,3771.00,1.04,0.27,1.10,1.31,426.00,,105.77,125.96
4-BRSA-265-ESS,3789.00,0.85,0.26,0.62,1.74,423.00,,72.94,204.71
4-BRSA-265-ESS,3807.00,0.74,0.47,0.88,1.88,420.00,,118.92,254.05
4-BRSA-265-ESS,3825.00,0.82,0.19,0.75,1.01,421.00,,91.46,123.17
4-BRSA-265-ESS,3843.00,0.94,0.22,0.71,2.02,428.00,,75.53,214.89
4-BRSA-265-ESS,3852.00,0.99,0.38,0.92,2.15,425.00,,92.93,217.17
4-BRSA-265-ESS,3861.00,0.94,0.25,0.80,2.06,427.00,,85.11,219.15
4-BRSA-265-ESS,3864.00,1.02,0.68,1.19,2.59,423.00,,116.67,253.92
4-BRSA-265-ESS,3870.00,1.05,0.71,1.32,2.78,422.00,,125.71,264.76
4-BRSA-265-ESS,3873.00,1.07,0.78,1.28,2.92,425.00,,119.63,272.90
4-BRSA-265-ESS,3876.00,1.14,0.75,1.32,2.98,424.00,,115.79,261.40
4-BRSA-265-ESS,3879.00,1.09,0.69,1.52,1.60,421.00,,139.45,146.79
4-BRSA-265-ESS,3882.00,1.04,0.64,1.15,2.99,424.00,,110.58,287.50
4-BRSA-265-ESS,3885.00,1.09,0.77,1.38,2.80,426.00,,126.61,256.88
4-BRSA-265-ESS,3888.00,1.08,0.65,1.21,2.77,425.00,,112.04,256.48
4-BRSA-265-ESS,3891.00,1.02,0.63,1.18,2.90,423.00,,115.69,284.31
4-BRSA-265-ESS,3894.00,1.03,0.71,1.17,2.81,423.00,,113.59,272.82
4-BRSA-265-ESS,3897.00,1.06,0.40,1.27,1.34,421.00,,119.81,126.42
4-BRSA-265-ESS,3900.00,1.13,0.77,1.39,2.68,423.00,,123.01,237.17
4-BRSA-265-ESS,3903.00,1.06,0.78,1.31,2.78,425.00,,123.58,262.26
4-BRSA-265-ESS,3906.00,1.12,0.96,1.48,2.47,423.00,,132.14,220.54
4-BRSA-265-ESS,3909.00,1.22,0.91,1.46,2.86,426.00,,119.67,234.43
4-BRSA-265-ESS,3912.00,1.25,1.20,1.71,2.74,421.00,,136.80,219.20
4-BRSA-265-ESS,3915.00,1.20,0.77,1.58,1.43,426.00,,131.67,119.17
4-BRSA-265-ESS,3918.00,1.15,0.78,1.34,2.60,426.00,,116.52,226.09
4-BRSA-265-ESS,3921.00,1.27,1.09,1.58,2.61,425.00,,124.41,205.51
4-BRSA-265-ESS,3933.00,1.33,1.53,1.65,3.16,425.00,,124.06,237.59
4-BRSA-265-ESS,3951.00,1.12,1.09,1.19,2.96,427.00,,106.25,264.29
4-BRSA-265-ESS,3969.00,1.06,0.66,0.91,2.95,429.00,,85.85,278.30
4-BRSA-265-ESS,3987.00,1.29,0.96,1.37,1.79,428.00,,106.20,138.76
4-BRSA-265-ESS,4005.00,1.41,2.20,2.09,2.60,423.00,,148.23,184.40
4-BRSA-265-ESS,4023.00,1.28,1.71,2.01,2.48,423.00,,157.03,193.75
4-BRSA-265-ESS,4041.00,1.69,3.00,2.96,2.92,422.00,,175.15,172.78
4-BRSA-265-ESS,4059.00,1.49,2.31,2.40,2.65,424.00,,161.07,177.85
4-BRSA-265-ESS,4077.00,1.35,2.05,2.20,2.08,422.00,,162.96,154.07
4-BRSA-265-ESS,4095.00,1.15,1.25,1.33,1.86,423.00,,115.65,161.74
4-BRSA-265-ESS,4113.00,1.09,0.88,1.35,1.08,417.00,,123.85,99.08
4-BRSA-265-ESS,4455.00,1.07,1.16,1.50,1.04,427.00,,140.19,97.20
4-BRSA-265-ESS,4743.00,1.57,2.71,2.82,2.68,359.00,,179.62,170.70
4-BRSA-265-ESS,4761.00,1.37,2.81,2.44,2.54,360.00,,178.10,185.40
4-BRSA-265-ESS,4779.00,1.51,2.45,2.17,2.84,353.00,,143.71,188.08
4-BRSA-265-ESS,4815.00,1.35,3.13,2.72,3.65,360.00,,201.48,270.37
4-BRSA-265-ESS,4833.00,1.18,2.69,2.16,2.96,361.00,,183.05,250.85
4-BRSA-265-ESS,4887.00,0.80,1.66,1.36,1.79,355.00,,170.00,223.75
4-BRSA-265-ESS,4941.00,1.28,2.05,1.93,2.01,355.00,,150.78,157.03
4-BRSA-265-ESS,4959.00,1.22,1.91,1.76,2.42,354.00,,144.26,198.36
4-BRSA-265-ESS,4977.00,1.45,2.35,2.78,2.44,356.00,,191.72,168.28
4-BRSA-265-ESS,4995.00,1.73,2.37,2.50,2.08,354.00,,144.51,120.23
4-BRSA-265-ESS,5013.00,1.52,2.48,2.49,2.95,354.00,,163.82,194.08
4-BRSA-265-ESS,5031.00,1.63,2.73,2.41,1.89,357.00,,147.85,115.95
4-BRSA-265-ESS,5049.00,1.70,3.38,2.77,2.88,359.00,,162.94,169.41
4-BRSA-265-ESS,5067.00,1.74,2.80,2.19,2.61,358.00,,125.86,150.00
4-BRSA-265-ESS,5085.00,1.92,4.02,3.19,2.92,358.00,,166.15,152.08
4-BRSA-265-ESS,5103.00,2.16,4.24,3.26,2.60,356.00,,150.93,120.37
4-BRSA-265-ESS,5121.00,2.51,3.75,3.29,2.13,358.00,,131.08,84.86
4-BRSA-265-ESS,5139.00,2.49,4.04,3.43,3.04,359.00,,137.75,122.09
4-BRSA-265-ESS,5157.00,2.54,3.94,3.53,2.66,356.00,,138.98,104.72
4-BRSA-265-ESS,5175.00,2.66,3.70,3.33,2.17,358.00,,125.19,81.58
4-BRSA-265-ESS,5193.00,2.47,3.97,3.27,2.96,360.00,,132.39,119.84
4-BRSA-265-ESS,5211.00,2.40,3.70,3.20,2.92,362.00,,133.33,121.67
4-BRSA-265-ESS,5229.00,2.13,3.05,2.57,2.36,359.00,,120.66,110.80
4-BRSA-265-ESS,5247.00,1.79,2.60,2.19,2.19,361.00,,122.35,122.35
4-BRSA-265-ESS,5265.00,1.41,2.10,1.77,1.92,364.00,,125.53,136.17
4-BRSA-265-ESS,5427.00,1.36,2.24,1.79,2.20,359.00,,131.62,161.76
4-BRSA-265-ESS,5445.00,1.39,1.96,1.55,1.94,357.00,,111.51,139.57
4-BRSA-265-ESS,5463.00,1.69,2.94,2.44,2.88,355.00,,144.38,170.41
4-BRSA-265-ESS,5481.00,1.79,1.97,2.01,1.74,360.00,,112.29,97.21
4-BRSA-265-ESS,5499.00,2.00,2.81,2.46,2.95,355.00,,123.00,147.50
4-BRSA-265-ESS,5517.00,2.08,2.68,2.47,1.86,356.00,,118.75,89.42
4-BRSA-265-ESS,5535.00,1.87,3.12,2.67,2.50,353.00,,142.78,133.69
6-BRSA-486-ESS,4125.50,2.71,0.39,1.64,3.13,456.00,,60.47,115.41
6-BRSA-486-ESS,4155.00,1.34,0.30,1.03,1.06,451.00,,77.10,79.34
6-BRSA-486-ESS,4251.00,0.37,,,,,,,
6-BRSA-486-ESS,4314.00,2.72,1.01,3.79,0.26,453.00,,139.39,9.56
6-BRSA-486-ESS,4319.00,1.03,0.13,0.68,1.88,449.00,,65.89,182.17
6-BRSA-486-ESS,4335.00,0.79,0.08,0.48,0.61,448.00,,60.45,76.83
6-BRSA-486-ESS,4349.00,1.99,0.30,0.97,2.61,462.00,,48.69,131.02
6-BRSA-486-ESS,4362.00,1.13,0.39,1.17,1.14,445.00,,103.82,101.15
6-BRSA-486-ESS,4370.00,1.68,0.18,0.71,0.79,459.00,,42.39,47.16
6-BRSA-486-ESS,4380.00,0.41,,,,,,,
6-BRSA-486-ESS,4389.00,1.79,0.24,0.70,4.78,464.00,,39.08,266.89
6-BRSA-486-ESS,4408.00,0.63,0.10,0.34,1.06,459.00,,54.31,169.33
6-BRSA-486-ESS,4420.00,0.85,0.10,0.36,0.72,461.00,,42.40,84.81
6-BRSA-486-ESS,4424.00,1.47,0.22,0.77,1.60,463.00,,52.42,108.92
6-BRSA-486-ESS,4429.50,1.82,0.22,0.79,1.39,465.00,,43.38,76.33
6-BRSA-486-ESS,4433.00,1.84,0.30,1.04,1.31,463.00,,56.58,71.27
6-BRSA-486-ESS,4440.00,1.09,0.17,0.54,0.42,457.00,,49.77,38.71
6-BRSA-486-ESS,4445.00,1.32,0.13,0.54,1.09,469.00,,41.06,82.89
6-BRSA-486-ESS,4450.00,1.97,0.27,1.02,0.80,461.00,,51.80,40.63
6-BRSA-486-ESS,4454.20,1.65,0.23,1.09,0.93,453.00,,65.94,56.26
6-BRSA-486-ESS,4548.50,0.45,,,,,,,
6-BRSA-486-ESS,4550.00,0.37,,,,,,,
6-BRSA-486-ESS,4550.80,0.39,,,,,,,
6-BRSA-486-ESS,4553.00,0.44,,,,,,,
6-BRSA-486-ESS,4559.50,2.61,1.47,1.89,2.37,460.00,,72.41,90.80
6-BRSA-486-ESS,4560.50,0.92,0.29,0.49,2.08,458.00,,53.38,226.58
6-BRSA-486-ESS,4562.80,3.72,1.94,3.68,1.87,454.00,,99.06,50.34
6-BRSA-486-ESS,4564.80,0.54,0.26,0.40,0.94,424.00,,74.77,175.70
6-BRSA-486-ESS,4565.80,3.33,1.38,4.22,0.92,455.00,,126.61,27.60
6-BRSA-486-ESS,4566.80,3.06,1.50,3.97,0.90,454.00,,129.61,29.38
6-BRSA-486-ESS,4568.80,0.40,,,,,,,
6-BRSA-486-ESS,2822.00,1.41,1.80,3.26,2.72,419.00,,231.21,192.91
6-BRSA-486-ESS,2840.00,1.45,2.04,3.72,2.67,413.00,,255.85,183.63
6-BRSA-486-ESS,2858.00,1.37,1.60,3.38,2.54,422.00,,246.18,185.00
6-BRSA-486-ESS,2876.00,1.37,1.90,3.43,2.05,295.00,,249.64,149.20
6-BRSA-486-ESS,2894.00,1.38,1.26,2.55,1.99,292.00,,185.32,144.62
6-BRSA-486-ESS,2912.00,1.42,1.16,2.78,1.88,424.00,,196.19,132.67
6-BRSA-486-ESS,2921.00,1.61,1.21,2.71,1.92,296.00,,168.01,119.03
6-BRSA-486-ESS,2930.00,1.92,1.46,3.05,1.92,294.00,,158.94,100.05
6-BRSA-486-ESS,2948.00,1.87,0.91,2.32,1.83,420.00,,124.40,98.12
6-BRSA-486-ESS,2966.00,2.06,1.78,3.72,2.44,297.00,,180.85,118.62
6-BRSA-486-ESS,2984.00,2.10,1.04,2.40,2.34,421.00,,114.07,111.22
6-BRSA-486-ESS,3002.00,2.35,1.23,2.79,2.08,294.00,,118.57,88.40
6-BRSA-486-ESS,3020.00,2.04,1.05,2.25,2.45,293.00,,110.13,119.92
6-BRSA-486-ESS,3038.00,2.05,1.71,3.32,2.30,294.00,,161.64,111.98
