Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-91-ESS,4679.00,0.65,,,,,,,
1-BRSA-91-ESS,4682.00,0.60,,,,,,,
1-BRSA-91-ESS,4691.00,0.55,,,,,,,
1-BRSA-91-ESS,4700.00,0.57,,,,,,,
1-BRSA-91-ESS,4709.00,0.44,,,,,,,
1-BRSA-91-ESS,4718.00,0.61,,,,,,,
1-BRSA-91-ESS,4727.00,0.58,,,,,,,
1-BRSA-91-ESS,4736.00,0.82,,,,,,,
1-BRSA-91-ESS,4745.00,0.96,1.46,1.74,3.11,422.00,,181.25,323.96
1-BRSA-91-ESS,4751.00,2.00,3.40,4.32,3.70,422.00,,216.00,185.00
1-BRSA-91-ESS,4754.00,1.89,3.34,3.92,3.66,423.00,,207.41,193.65
1-BRSA-91-ESS,4757.00,1.60,3.06,3.10,3.28,421.00,,193.75,205.00
1-BRSA-91-ESS,4760.00,1.76,2.91,3.44,3.25,423.00,,195.45,184.66
1-BRSA-91-ESS,4763.00,1.55,2.77,2.82,3.48,422.00,,181.94,224.52
1-BRSA-91-ESS,4766.00,1.50,2.83,2.82,3.30,420.00,,188.00,220.00
1-BRSA-91-ESS,4769.00,1.56,3.53,3.46,3.15,421.00,,221.79,201.92
1-BRSA-91-ESS,4772.00,1.55,2.73,2.96,3.24,422.00,,190.97,209.03
1-BRSA-91-ESS,4775.00,1.52,2.39,2.93,3.26,424.00,,192.76,214.47
1-BRSA-91-ESS,4778.00,1.34,2.21,2.43,3.04,422.00,,181.34,226.87
1-BRSA-91-ESS,4781.00,1.34,2.26,2.43,3.19,423.00,,181.34,238.06
1-BRSA-91-ESS,4784.00,1.35,2.34,2.57,3.26,423.00,,190.37,241.48
1-BRSA-91-ESS,4787.00,1.30,2.66,2.54,3.07,423.00,,195.38,236.15
1-BRSA-91-ESS,4790.00,1.20,2.40,2.11,3.16,420.00,,175.83,263.33
1-BRSA-91-ESS,4793.00,1.06,2.02,1.75,3.09,420.00,,165.09,291.51
1-BRSA-91-ESS,4796.00,1.04,1.71,1.76,3.00,423.00,,169.23,288.46
1-BRSA-91-ESS,4799.00,0.94,1.54,1.43,3.01,421.00,,152.13,320.21
1-BRSA-91-ESS,4802.00,1.02,1.74,1.76,2.93,423.00,,172.55,287.25
1-BRSA-91-ESS,4805.00,0.82,,,,,,,
1-BRSA-91-ESS,4808.00,0.88,,,,,,,
1-BRSA-91-ESS,4811.00,0.90,,,,,,,
1-BRSA-91-ESS,4814.00,0.81,,,,,,,
1-BRSA-91-ESS,4817.00,0.78,,,,,,,
1-BRSA-91-ESS,4820.00,0.83,,,,,,,
1-BRSA-91-ESS,4823.00,0.75,,,,,,,
1-BRSA-91-ESS,4826.00,0.73,,,,,,,
1-BRSA-91-ESS,4829.00,0.70,,,,,,,
1-BRSA-91-ESS,4832.00,0.62,,,,,,,
1-BRSA-91-ESS,4835.00,0.67,,,,,,,
1-BRSA-91-ESS,4838.00,0.75,,,,,,,
1-BRSA-91-ESS,4841.00,0.94,1.38,2.37,2.42,423.00,,252.13,257.45
1-BRSA-91-ESS,4844.00,1.05,1.72,2.36,2.92,421.00,,224.76,278.10
1-BRSA-91-ESS,4847.00,1.07,1.54,2.69,3.01,420.00,,251.40,281.31
1-BRSA-91-ESS,4850.00,1.01,1.29,2.05,3.21,422.00,,202.97,317.82
